volatile_acidity,free_sulfur_dioxide,total_sulfur_dioxide,pH,sulphates,alcohol,quality
0.38,7.0,20.0,3.24,0.76,10.4,6.0
0.32,16.0,37.0,3.22,0.78,10.0,6.0
0.49,26.0,121.0,3.34,0.76,10.5,5.0
0.51,21.0,45.0,3.49,0.96,12.1,6.0
0.28,35.0,103.0,3.3,0.75,10.5,7.0
0.23,14.0,36.0,3.23,0.49,9.3,4.0
0.34,31.0,68.0,3.45,0.48,9.4,5.0
0.4,13.0,62.0,3.07,0.63,10.5,6.0
0.53,29.0,44.0,3.38,0.83,10.3,6.0
0.78,12.0,66.0,3.0,1.17,9.2,5.0
0.3,10.0,24.0,3.27,0.85,11.7,7.0
0.58,16.0,70.0,3.46,0.65,12.5,6.0
0.585,15.0,60.0,3.31,0.54,9.8,5.0
0.63,11.0,44.0,3.47,0.55,10.4,6.0
0.18,4.0,23.0,3.28,0.97,10.1,6.0
0.45,12.0,21.0,3.21,0.75,10.2,6.0
0.775,12.0,48.0,3.18,0.51,9.6,5.0
0.41,22.0,36.0,3.41,0.75,11.1,6.0
0.48,36.0,111.0,3.1,0.53,9.7,5.0
0.82,9.0,23.0,3.39,0.63,9.8,5.0
0.685,20.0,84.0,3.21,0.61,9.3,5.0
0.48,31.0,54.0,3.3,0.65,10.0,7.0
0.38,10.0,41.0,3.17,0.68,9.8,6.0
0.65,17.0,40.0,3.29,0.55,9.5,5.0
0.29,13.0,27.0,3.26,0.84,11.7,7.0
0.4,6.0,20.0,3.28,0.57,12.5,6.0
0.68,5.0,28.0,3.14,0.6,10.2,5.0
0.43,13.0,19.0,3.1,0.87,11.4,6.0
0.5,5.0,14.0,3.29,0.52,10.7,6.0
0.83,11.0,63.0,3.29,0.48,9.8,4.0
0.51,16.0,101.0,3.46,0.87,12.9,7.0
0.67,31.0,92.0,3.32,0.68,11.1,6.0
0.965,11.0,22.0,3.26,0.5,9.5,5.0
0.31,7.0,16.0,3.31,0.79,11.8,7.0
0.52,14.0,38.0,3.43,0.65,9.0,6.0
0.735,18.0,28.0,3.41,0.6,9.4,5.0
0.57,14.0,27.0,3.3,0.59,10.4,6.0
0.62,17.0,84.0,3.51,0.53,9.7,5.0
0.35,10.0,37.0,3.32,0.91,11.0,6.0
0.2,6.0,18.0,3.3,0.71,10.5,5.0
0.49,12.0,30.0,3.42,0.58,10.2,6.0
0.68,11.0,44.0,3.31,0.55,9.5,6.0
0.78,5.0,15.0,3.37,0.56,11.3,5.0
0.44,9.0,18.0,3.42,0.69,11.3,6.0
0.68,5.0,28.0,3.14,0.6,10.2,5.0
0.42,6.0,12.0,3.35,0.69,11.7,8.0
0.25,4.0,10.0,3.27,0.71,12.5,7.0
0.39,14.0,24.0,3.3,0.53,13.3,6.0
1.0,7.0,16.0,3.43,0.46,10.0,5.0
0.78,4.0,13.0,3.36,0.49,9.5,5.0
0.2,7.0,15.0,3.32,0.8,11.9,7.0
0.58,7.0,28.0,3.35,0.52,10.0,5.0
0.815,48.0,90.0,3.38,0.62,10.8,5.0
0.31,17.0,43.0,3.31,0.77,12.5,7.0
0.58,20.0,31.0,3.5,0.64,10.2,6.0
0.65,6.0,18.0,3.57,0.54,11.95,5.0
0.415,13.0,45.0,3.48,0.64,9.2,5.0
0.58,9.0,18.0,3.36,0.57,9.5,7.0
0.56,16.0,44.0,3.13,0.52,11.0,5.0
0.51,13.0,31.0,3.36,0.54,10.5,6.0
0.5,5.0,14.0,3.19,0.44,9.6,5.0
0.74,16.0,46.0,4.01,0.59,12.5,6.0
0.715,7.0,62.0,3.62,0.61,11.0,5.0
0.53,24.0,144.0,3.3,0.6,9.5,5.0
0.47,18.0,38.0,3.3,0.65,9.6,6.0
0.61,30.0,69.0,3.22,0.5,10.0,6.0
0.36,22.0,71.0,2.98,0.84,14.9,5.0
0.625,13.0,49.0,3.14,0.57,11.0,5.0
0.51,33.0,73.0,3.17,0.63,10.2,6.0
0.39,5.0,11.0,3.19,0.46,11.4,5.0
0.35,5.0,35.0,3.2,0.66,12.0,7.0
0.595,30.0,109.0,3.27,0.57,9.3,5.0
0.39,19.0,27.0,3.16,0.49,9.4,5.0
0.32,9.0,24.0,3.22,0.82,10.3,7.0
0.56,12.0,47.0,3.19,0.93,9.5,5.0
0.45,21.0,75.0,3.35,0.57,9.7,5.0
0.27,28.0,46.0,3.2,0.8,10.2,6.0
0.88,30.0,147.0,3.24,0.53,9.4,5.0
0.6,6.0,24.0,3.31,0.59,9.2,6.0
0.43,10.0,37.0,3.17,0.91,9.5,5.0
0.44,9.0,28.0,3.24,0.65,10.8,6.0
0.39,19.0,27.0,3.16,0.49,9.4,5.0
0.26,8.0,23.0,3.26,0.7,9.6,6.0
0.49,10.0,44.0,3.39,0.54,9.7,5.0
0.545,13.0,35.0,3.3,0.59,9.0,6.0
1.0,7.0,37.0,3.32,0.55,9.0,6.0
0.6,24.0,37.0,3.4,0.61,10.9,6.0
0.41,29.0,94.0,3.14,0.58,9.1,5.0
0.59,11.0,18.0,3.41,0.59,10.8,7.0
0.725,29.0,79.0,3.29,0.54,9.2,5.0
0.39,10.0,26.0,3.34,0.75,10.2,6.0
0.31,15.0,28.0,3.42,0.7,10.0,7.0
0.4,1.0,44.0,3.3,0.92,9.5,6.0
0.72,7.0,32.0,3.39,0.54,9.6,5.0
0.9,5.0,10.0,3.39,0.56,9.8,5.0
0.31,14.0,36.0,3.41,0.56,12.6,6.0
0.51,29.0,40.0,3.42,0.75,11.0,6.0
0.42,33.0,98.0,3.2,0.95,9.2,5.0
0.76,18.0,64.0,2.9,1.33,9.1,6.0
0.52,6.0,13.0,3.22,0.76,11.4,6.0
0.43,22.0,67.0,3.13,1.28,9.4,5.0
0.5,26.0,55.0,3.18,0.68,10.9,5.0
0.65,8.0,15.0,3.35,0.62,10.4,6.0
0.715,13.0,27.0,3.57,0.5,11.9,5.0
